"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"LHX5-AS1",1.01912675677243e-229,1.29904252887115,0.796,0.285,3.43384569426902e-225
"LMO1",4.95669538032344e-205,1.0541859984014,0.634,0.173,1.67010894144618e-200
"LHX5",5.32819171719419e-185,0.688734608360678,0.594,0.157,1.79528091719141e-180
"HESX1",1.71195720251309e-184,0.837688344260004,0.669,0.214,5.76826859814761e-180
"SFRP1",4.87729426341278e-129,0.82385758346925,0.981,0.777,1.6433555291143e-124
"RP11-148B6.1",2.32103719468043e-120,0.972011743093081,0.907,0.578,7.82050272375624e-116
"FEZ1",3.49781497027645e-116,0.6880305322015,0.637,0.256,1.17855377608495e-111
"NME4",5.63525831116989e-111,0.571621566736964,0.987,0.937,1.89874393536558e-106
"TNNT1",5.72933599827352e-108,0.655117574824019,0.913,0.635,1.93044247125828e-103
"HMGB1",2.14379490910293e-101,0.497015321053028,1,0.982,7.22330256673142e-97
"CYP26A1",1.22719932960321e-95,0.734530372657782,0.53,0.213,4.13492542116506e-91
"RANBP1",1.50486110104606e-93,0.522729896982429,0.996,0.935,5.07047899386459e-89
"H2AFZ",1.99706213300447e-91,0.480534337593986,1,0.995,6.72890115094526e-87
"ENC1",1.1056917540206e-88,0.427337128842479,0.352,0.101,3.72551779599701e-84
"SHISA2",1.3003259383145e-88,0.648840236256022,0.722,0.372,4.38131821655687e-84
"SNRPD1",3.19857997778047e-82,0.463849935169427,0.99,0.93,1.07772953771335e-77
"NRP2",7.94248912605973e-82,0.34279517837894,0.316,0.087,2.67614228613456e-77
"SNRPN",6.06998538120407e-81,0.526925530645216,0.98,0.885,2.0452208743429e-76
"APRT",1.09834593867214e-80,0.5263505996486,0.959,0.814,3.70076680576192e-76
"C6orf141",1.14639929746001e-79,0.311208559459877,0.348,0.103,3.86267779286175e-75
"FJX1",3.5918282147951e-77,0.526702140608164,0.648,0.314,1.21023059869306e-72
"GNPNAT1",4.10749327124741e-73,0.482448555996399,0.622,0.324,1.3839787828141e-68
"CITED2",1.65609447850933e-72,0.517136191746596,0.735,0.408,5.58004473588932e-68
"TMSB4X",3.48227210530076e-70,0.48981198393822,1,1,1.17331676316004e-65
"CNTNAP2",9.95441299519751e-69,0.44459137881177,0.641,0.326,3.35403991460185e-64
"PKDCC",1.79297536895621e-68,0.481332475439046,0.518,0.231,6.04125120816106e-64
"NR6A1",2.45658330667495e-67,0.587842668340304,0.837,0.569,8.27721179351056e-63
"PTMA",1.66975145158258e-64,0.295315991633498,1,1,5.62606054096235e-60
"ARL2",1.25105550490175e-63,0.436652164628445,0.972,0.868,4.21530641821595e-59
"FEZF1",3.77749407342805e-63,0.518683093708386,0.657,0.35,1.27278885310085e-58
"MIF",7.80033579689448e-60,0.328751453061159,0.999,0.982,2.62824514340563e-55
"ZIC2",1.49192729869259e-59,0.354842912734775,0.553,0.266,5.0268998402148e-55
"POU3F1",8.91014554726807e-59,0.340181004489059,0.447,0.19,3.00218444069651e-54
"KIAA0101",1.01933305052356e-58,0.478102787655096,0.804,0.538,3.43454078043408e-54
"ACTB",2.02722479631684e-58,0.307870265527354,1,0.999,6.83053122870996e-54
"DMKN",2.13082332703451e-58,0.454944873353033,0.907,0.657,7.17959611811007e-54
"ID3",1.68062588259397e-57,0.643535399995856,0.935,0.798,5.66270084881212e-53
"FRZB",2.25368851739279e-56,0.537780388121312,0.792,0.497,7.59357809050325e-52
"FERMT2",9.16389005288923e-56,0.402405782539947,0.599,0.325,3.0876811144205e-51
"LIN28A",1.13407967309995e-55,0.448523460811689,0.917,0.758,3.82116805054297e-51
"FGFR1",1.38380923249885e-55,0.459398664329468,0.86,0.647,4.66260682798163e-51
"FGFBP3",2.23011820368855e-55,0.508183466518134,0.452,0.211,7.51416027550821e-51
"NUCKS1",3.68249572074623e-55,0.434698232081711,0.991,0.918,1.24078010814823e-50
"GCSH",5.92194938467378e-55,0.400395994743156,0.941,0.783,1.99534162567198e-50
"SLIRP",9.3349544767612e-55,0.374707303422179,0.99,0.928,3.14531956139992e-50
"PGAM1",1.08034436024048e-54,0.376995131578303,0.986,0.928,3.64011228739426e-50
"CLDN6",2.20623100538527e-54,0.448509642570176,0.902,0.619,7.43367474954513e-50
"SET",1.38748876611923e-53,0.35686704821405,1,0.959,4.67500464856213e-49
"PPIA",2.59787348995262e-53,0.31433713921765,0.997,0.987,8.75327493704637e-49
"HMGN2",3.74167873936047e-53,0.356109595567064,0.999,0.985,1.26072123444012e-48
"RAN",4.23916074812091e-53,0.321377678380952,0.996,0.988,1.42834282247186e-48
"LIX1",2.00728770026464e-51,0.380451867462456,0.457,0.21,6.76335517727169e-47
"ALPL",8.20638428971878e-51,0.352834304365595,0.693,0.408,2.76505912257785e-46
"HSPE1",4.28088209001743e-50,0.341272566331892,0.996,0.962,1.44240041141047e-45
"DPYSL3",1.00067950355516e-49,0.403012554143711,0.759,0.504,3.37168951927877e-45
"DEK",1.26734352146148e-49,0.41688624611871,0.959,0.844,4.27018726121231e-45
"CARHSP1",2.03467098454705e-48,0.374345516953239,0.969,0.854,6.85562041533282e-44
"SNRPG",1.11401353556006e-47,0.350583168206414,0.991,0.925,3.75355720671606e-43
